Date,Size,Type,Mode,UID,GID,Meta,File Name
Tue 12 16 2003 21:26:48,0,m...,d/drwxrwxrwx,0,0,26,/New Folder (deleted)
Tue 12 16 2003 00:00:00,25,.a..,r/rrwxrwxrwx,0,0,1077,/New Folder/_ile11.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,r/rrwxrwxrwx,0,0,1077,/New Folder/_ile11.txt (deleted)
Tue 12 16 2003 21:07:11,25,...b,r/rrwxrwxrwx,0,0,1077,/New Folder/_ile11.txt (deleted)
Tue 12 16 2003 00:00:00,25,.a..,r/rrwxrwxrwx,0,0,1086,/New Folder/Copy (2) of file2.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,r/rrwxrwxrwx,0,0,1086,/New Folder/Copy (2) of file2.txt (deleted)
Tue 12 16 2003 21:07:32,25,...b,r/rrwxrwxrwx,0,0,1086,/New Folder/Copy (2) of file2.txt (deleted)
Tue 12 16 2003 00:00:00,25,.a..,r/rrwxrwxrwx,0,0,1083,/New Folder/Copy of Copy of file2.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,r/rrwxrwxrwx,0,0,1083,/New Folder/Copy of Copy of file2.txt (deleted)
Tue 12 16 2003 21:07:31,25,...b,r/rrwxrwxrwx,0,0,1083,/New Folder/Copy of Copy of file2.txt (deleted)
Tue 12 16 2003 00:00:00,25,.a..,r/rrwxrwxrwx,0,0,1080,/New Folder/Copy of file2.txt (deleted)
Tue 12 16 2003 21:03:52,25,m...,r/rrwxrwxrwx,0,0,1080,/New Folder/Copy of file2.txt (deleted)
Tue 12 16 2003 21:07:19,25,...b,r/rrwxrwxrwx,0,0,1080,/New Folder/Copy of file2.txt (deleted)
Tue 12 16 2003 00:00:00,2053,.a..,r/rrwxrwxrwx,0,0,1088,/New Folder/RIT-logo.gif (deleted)
Tue 12 16 2003 21:09:36,2053,m...,r/rrwxrwxrwx,0,0,1088,/New Folder/RIT-logo.gif (deleted)
Tue 12 16 2003 21:10:16,2053,...b,r/rrwxrwxrwx,0,0,1088,/New Folder/RIT-logo.gif (deleted)
Tue 12 16 2003 00:00:00,0,.a..,r/rrwxrwxrwx,0,0,30,/New Text Document.txt (deleted)
Tue 12 16 2003 21:28:00,0,...b,r/rrwxrwxrwx,0,0,30,/New Text Document.txt (deleted)
Tue 12 16 2003 21:28:02,0,m...,r/rrwxrwxrwx,0,0,30,/New Text Document.txt (deleted)
Tue 12 16 2003 00:00:00,2053,.a..,r/rrwxrwxrwx,0,0,19,/RIT-logo.gif (deleted)
Tue 12 16 2003 21:09:36,2053,m...,r/rrwxrwxrwx,0,0,19,/RIT-logo.gif (deleted)
Tue 12 16 2003 21:10:39,2053,...b,r/rrwxrwxrwx,0,0,19,/RIT-logo.gif (deleted)
Tue 12 16 2003 00:00:00,17,.a..,r/rrwxrwxrwx,0,0,31,/secret.txt
Tue 12 16 2003 21:28:00,17,...b,r/rrwxrwxrwx,0,0,31,/secret.txt
Tue 12 16 2003 21:29:00,17,m...,r/rrwxrwxrwx,0,0,31,/secret.txt
Tue 12 16 2003 00:00:00,4066,.a..,r/rrwxrwxrwx,0,0,22,/smallphoto-tiger.jpg (deleted)
Tue 12 16 2003 21:09:46,4066,m...,r/rrwxrwxrwx,0,0,22,/smallphoto-tiger.jpg (deleted)
Tue 12 16 2003 21:10:41,4066,...b,r/rrwxrwxrwx,0,0,22,/smallphoto-tiger.jpg (deleted)
